date,Unnamed: 0,open,high,low,close,volume,past_ret_1h,past_ret_2h,past_ret_4h,past_ret_8h,past_ret_16h,forward regime,probability,0.6 percent prediction,1 percent prediction,1.5 percent prediction,vix,dxy
2025-04-24 17:00:00,62,3329.58,3335.05,3322.57,3331.11,152,-0.0006124084764538,-0.001140760887512,0.0015280191887987,0.001308873018303,0.0001831221424688,upward,,,,,26.47,122.9251
2025-04-24 18:00:00,63,3330.11,3337.94,3328.7,3336.34,156,-0.0015675860373942,-0.0021790345108712,-0.0063902360071216,-0.0002217999364574,0.0062433684816296,range,100.0,1.0,1.0,1.0,26.47,122.9251
2025-04-24 19:00:00,64,3335.93,3339.32,3333.75,3334.89,159,0.0004347969498246,-0.0011334706691974,-0.0022729385377028,-0.0016732186069104,0.0021350029536206,upward,100.0,1.0,1.0,1.0,26.47,122.9251
2025-04-24 20:00:00,65,3334.63,3346.44,3332.4,3342.41,157,-0.002249873594203,-0.0018160548825547,-0.0039911321471631,-0.0018699082398628,-0.004565567958449,range,100.0,1.0,1.0,1.0,26.47,122.9251
2025-04-24 21:00:00,66,3340.3,3349.66,3338.2,3348.46,158,-0.0018068007382499,-0.0040526092591818,-0.0051814864146503,-0.0036613846365195,-0.0067822222753146,range,,,,,26.47,122.9251
2025-04-24 22:00:00,67,3348.46,3348.6,3348.46,3348.6,2,-4.180851699209232e-05,-0.0018485337155826,-0.0036612315594576,-0.0100280714328375,-0.007489697186884,downward,99.0,1.0,1.0,1.0,26.47,122.9251
2025-04-24 23:00:00,68,3350.54,3369.54,3313.7,3366.81,134,-0.005408680620528,-0.0054502630086045,-0.0094807844814528,-0.0117321737787401,-0.0129974664444978,downward,91.0,1.0,1.0,1.0,26.47,122.9251
2025-04-25 00:00:00,69,3363.45,3366.44,3347.15,3348.64,170,0.0054260834249129,-1.194514788094292e-05,-0.0018604567824549,-0.0058441636007452,-0.0045899230732475,downward,,,,,24.84,122.8858
2025-04-25 01:00:00,70,3347.79,3360.74,3347.79,3356.46,158,-0.002329835600603,0.0030836059419745,-0.0023834635300286,-0.0075526000607782,-0.0062536124369128,downward,,,,,24.84,122.8858
2025-04-25 02:00:00,71,3357.64,3361.92,3342.3,3344.32,158,0.0036300354033107,0.0012917424169935,0.0012797818390584,-0.0023861352980576,-0.0026074059898575,downward,,,,,24.84,122.8858
2025-04-25 03:00:00,72,3345.02,3352.66,3343.78,3347.34,155,-0.0009022089181259,0.0027245514348706,0.0058165588198388,-0.0037193712022084,-0.0053863664880173,downward,,,,,24.84,122.8858
2025-04-25 04:00:00,73,3348.86,3352.83,3324.07,3324.07,158,0.0070004542623951,0.0060919294720027,0.0073915410926965,0.0055173326674828,0.0036371075218029,downward,,,,,24.84,122.8858
2025-04-25 05:00:00,74,3322.65,3327.27,3316.31,3324.41,157,-0.0001022737869275,0.0068974645124999,0.0096408084442052,0.0072343663988496,0.0035464939643425,downward,,,,,24.84,122.8858
2025-04-25 06:00:00,75,3325.35,3326.82,3288.18,3292.89,154,0.0095721387595697,0.0094688859937623,0.0156184992514174,0.0169182693621712,0.0067205403156498,range,,,,,24.84,122.8858
2025-04-25 07:00:00,76,3294.45,3305.36,3287.44,3303.95,148,-0.0033475082855369,0.0061925876602249,0.0131327653263519,0.0190257116481786,0.0070703249141179,range,,,,,24.84,122.8858
